municipio,latitude,longitude
ABADIA DE GOIÁS,-16.7573,-49.4412
ABADIA DOS DOURADOS,-18.4831,-47.3916
ABADIÂNIA,-16.197,-48.7057
ABAETÉ,-19.1551,-45.4444
ABAETETUBA,-1.72183,-48.8788
ABAIARA,-7.34588,-39.0416
ABAÍRA,-13.2488,-41.6619
ABARÉ,-8.72073,-39.1162
ABATIÁ,-23.3049,-50.3133
ABDON BATISTA,-27.6126,-51.0233
ABEL FIGUEIREDO,-4.95333,-48.3933
ABELARDO LUZ,-26.5716,-52.3229
ABRE CAMPO,-20.2996,-42.4743
ABREU E LIMA,-7.90072,-34.8984
ABREULÂNDIA,-9.62101,-49.1518
ACAIACA,-20.359,-43.1439
AÇAILÂNDIA,-4.94714,-47.5004
ACAJUTIBA,-11.6575,-38.0197
ACARÁ,-1.95383,-48.1985
ACARAPE,-4.22083,-38.7055
ACARAÚ,-2.88769,-40.1183
ACARI,-6.4282,-36.6347
ACAUÃ,-8.21954,-41.0831
ACEGUÁ,-31.8665,-54.1615
ACOPIARA,-6.08911,-39.448
ACORIZAL,-15.194,-56.3632
ACRELÂNDIA,-9.82581,-66.8972
ACREÚNA,-17.396,-50.3749
AÇU,-5.58362,-36.914
AÇUCENA,-19.0671,-42.5419
ADAMANTINA,-21.682,-51.0737
ADELÂNDIA,-16.4127,-50.1657
ADOLFO,-21.2325,-49.6451
ADRIANÓPOLIS,-24.6606,-48.9922
ADUSTINA,-10.5437,-38.1113
AFOGADOS DA INGAZEIRA,-7.74312,-37.631
AFONSO BEZERRA,-5.49229,-36.5075
AFONSO CLÁUDIO,-20.0778,-41.1261
AFONSO CUNHA,-4.13631,-43.3275
AFRÂNIO,-8.51136,-41.0095
AFUÁ,-0.154874,-50.3861
AGRESTINA,-8.45966,-35.9447
AGRICOLÂNDIA,-5.79676,-42.6664
AGROLÂNDIA,-27.4087,-49.822
AGRONÔMICA,-27.2662,-49.708
ÁGUA AZUL DO NORTE,-6.79053,-50.4791
ÁGUA BOA,-17.9914,-42.3806
ÁGUA BOA,-14.051,-52.1601
ÁGUA BRANCA,-5.88856,-42.637
ÁGUA BRANCA,-7.51144,-37.6357
ÁGUA BRANCA,-9.262,-37.938
